party_name,person_name,role_title,taxonomy_category,source_url,extraction_method,review_decision,review_notes
D66,Alexandra van Huffelen,Partijvoorzitter,registered_party_board,http://d66.nl/mensen/#nav-landelijk-bestuur6994,manual,reviewed,
D66,Hans Teunissen,Landelijk Bestuurslid,registered_party_board,http://d66.nl/mensen/#nav-landelijk-bestuur6994,manual,reviewed,
D66,Serhat Özasik,Penningmeester,registered_party_board,http://d66.nl/mensen/#nav-landelijk-bestuur6994,manual,reviewed,
D66,Maartje Jansen,Internationaal Secretaris,registered_party_board,http://d66.nl/mensen/#nav-landelijk-bestuur6994,manual,reviewed,
D66,Jieskje Hollander,Politiek Secretaris,registered_party_board,http://d66.nl/mensen/#nav-landelijk-bestuur6994,manual,reviewed,
D66,Brecht Janssen,Landelijk Bestuurslid,registered_party_board,http://d66.nl/mensen/#nav-landelijk-bestuur6994,manual,reviewed,
VVD,Ton van Nimwegen,Voorzitter,registered_party_board,https://www.vvd.nl/afdeling/hoofdbestuur/,manual,reviewed,
VVD,Rolinde Weide-Gernaat,Vicevoorzitter,registered_party_board,https://www.vvd.nl/afdeling/hoofdbestuur/,manual,reviewed,
VVD,Birkitta Kortes,Algemeen secretaris,registered_party_board,https://www.vvd.nl/afdeling/hoofdbestuur/,manual,reviewed,
VVD,Sven Butter,Communicatie en jongerenbeleid,registered_party_board,https://www.vvd.nl/afdeling/hoofdbestuur/,manual,reviewed,
VVD,Lex Janssen,Landelijke penningmeester,registered_party_board,https://www.vvd.nl/afdeling/hoofdbestuur/,manual,reviewed,
VVD,Christel Mourik,Vicevoorzitter,registered_party_board,https://www.vvd.nl/afdeling/hoofdbestuur/,manual,reviewed,
VVD,Rein Jansons,Internationaal Secretaris,registered_party_board,https://www.vvd.nl/afdeling/hoofdbestuur/,manual,reviewed,
VVD,Maarten de Crom,Opleiding en talentmanagement,registered_party_board,https://www.vvd.nl/afdeling/hoofdbestuur/,manual,reviewed,
PVDA,Esther-Mirjam Sent,Partijvoorzitter,registered_party_board,https://www.pvda.nl/politici/partijbestuur/,manual,reviewed,
PVDA,Jopie Nooren,Vice-voorzitter,registered_party_board,https://www.pvda.nl/politici/partijbestuur/,manual,reviewed,
PVDA,John Hofmeijer,Penningmeester,registered_party_board,https://www.pvda.nl/politici/partijbestuur/,manual,reviewed,
PVDA,Ties Huis in 't Veld,Internationaal Secretaris,registered_party_board,https://www.pvda.nl/politici/partijbestuur/,manual,reviewed,
PVDA,Alptekin Akdoğan,Lid partijbestuur,registered_party_board,https://www.pvda.nl/politici/partijbestuur/,manual,reviewed,
PVDA,Stijn Jansen,Lid partijbestuur,registered_party_board,https://www.pvda.nl/politici/partijbestuur/,manual,reviewed,
PVDA,Peter Kerris,Lid partijbestuur,registered_party_board,https://www.pvda.nl/politici/partijbestuur/,manual,reviewed,
PVDA,Nadir Baali,Lid partijbestuur,registered_party_board,https://www.pvda.nl/politici/partijbestuur/,manual,reviewed,
PVDA,Jelle Zoetendal,Lid partijbestuur,registered_party_board,https://www.pvda.nl/politici/partijbestuur/,manual,reviewed,
GroenLinks,Katinka Eikelenboom,Partijvoorzitter,registered_party_board,https://groenlinks.nl/onze-partij/partijbestuur,manual,reviewed,
GroenLinks,Gebke van Gaal,Internationaal Secretaris en vicevoorzitter,registered_party_board,https://groenlinks.nl/onze-partij/partijbestuur,manual,reviewed,
GroenLinks,Wouter Hakhoff,Bestuurslid Personeel en Organisatie,registered_party_board,https://groenlinks.nl/onze-partij/partijbestuur,manual,reviewed,
GroenLinks,Imane Nadif,Bestuurslid Diversiteit en inclusie,registered_party_board,https://groenlinks.nl/onze-partij/partijbestuur,manual,reviewed,
GroenLinks,Linda Kiewiet,Bestuurslid Communicatie en Campagne,registered_party_board,https://groenlinks.nl/onze-partij/partijbestuur,manual,reviewed,
GroenLinks,Samir Bashara,Bestuurslid Interne partijontwikkeling,registered_party_board,https://groenlinks.nl/onze-partij/partijbestuur,manual,reviewed,
GroenLinks,Jan Ravesteijn,Penningmeester,registered_party_board,https://groenlinks.nl/onze-partij/partijbestuur,manual,reviewed,
JA21,Elrie Bakker-Derks,Voorzitter,registered_party_board,https://ja21.nl/onze-mensen,manual,reviewed,
JA21,Yvonne de Ruijter,Secretaris,registered_party_board,https://ja21.nl/onze-mensen,manual,reviewed,
JA21,Carl-Eric Rasch,Penningmeester,registered_party_board,https://ja21.nl/onze-mensen,manual,reviewed,
JA21,Rick Maas,Vice-voorzitter,registered_party_board,https://ja21.nl/onze-mensen,manual,reviewed,
JA21,Jos van de Vijver,Algemeen bestuurslid,registered_party_board,https://ja21.nl/onze-mensen,manual,reviewed,
JA21,Simon Slooten,Algemeen bestuurslid,registered_party_board,https://ja21.nl/onze-mensen,manual,reviewed,
FVD,Thierry Baudet,Partijvoorzitter,registered_party_board,https://fvd.nl/mensen/bestuur,manual,reviewed,
FVD,Frederik Jansen,Penningmeester,registered_party_board,https://fvd.nl/mensen/bestuur,manual,reviewed,
FVD,Joris van den Oetelaar,Vice-voorzitter,registered_party_board,https://fvd.nl/mensen/bestuur,manual,reviewed,
BBB,Helma Lodders,Voorzitter,registered_party_board,http://boerburgerbeweging.nl/vereniging/partijbestuur/,manual,reviewed,
BBB,Ronne Smolders,Secretaris,registered_party_board,http://boerburgerbeweging.nl/vereniging/partijbestuur/,manual,reviewed,
BBB,Jan-Willem Eilander,Penningmeester,registered_party_board,http://boerburgerbeweging.nl/vereniging/partijbestuur/,manual,reviewed,
BBB,Klaas-Jan de Ruiter,Vice-voorzitter,registered_party_board,http://boerburgerbeweging.nl/vereniging/partijbestuur/,manual,reviewed,
BBB,Annemieke Tromp,Bestuurslid,registered_party_board,http://boerburgerbeweging.nl/vereniging/partijbestuur/,manual,reviewed,
